Tray,Temp,Time,E,L,P
R1,20,05/12/2019,180,0,0
R1,20,06/12/2019,180,0,0
R1,20,09/12/2019,0,180,0
R1,20,18/12/2019,0,,17
R1,20,19/12/2019,0,,23
R1,20,20/12/2019,0,,14
R1,20,21/12/2019,0,,10
R1,20,22/12/2019,0,,3
R1,20,23/12/2019,0,,0
R1,20,24/12/2019,0,,0
R1,20,25/12/2019,0,,0
R1,20,26/12/2019,0,,0
R1,20,27/12/2019,0,,0
R1,20,28/12/2019,0,,0
R1,20,29/12/2019,0,,0
R1,20,30/12/2019,0,,0
R2,20,05/12/2019,177,0,0
R2,20,06/12/2019,177,0,0
R2,20,09/12/2019,0,177,0
R2,20,18/12/2019,0,,2
R2,20,19/12/2019,0,,23
R2,20,20/12/2019,0,,14
R2,20,21/12/2019,0,,10
R2,20,22/12/2019,0,,3
R2,20,23/12/2019,0,,1
R2,20,24/12/2019,0,,5
R2,20,25/12/2019,0,,5
R2,20,26/12/2019,0,,0
R2,20,27/12/2019,0,,0
R2,20,28/12/2019,0,,0
R2,20,29/12/2019,0,,0
R2,20,30/12/2019,0,,0
R3,20,05/12/2019,161,0,0
R3,20,06/12/2019,161,0,0
R3,20,09/12/2019,0,161,0
R3,20,18/12/2019,0,,3
R3,20,19/12/2019,0,,29
R3,20,20/12/2019,0,,24
R3,20,21/12/2019,0,,14
R3,20,22/12/2019,0,,8
R3,20,23/12/2019,0,,2
R3,20,24/12/2019,0,,0
R3,20,25/12/2019,0,,0
R3,20,26/12/2019,0,,0
R3,20,27/12/2019,0,,0
R3,20,28/12/2019,0,,0
R3,20,29/12/2019,0,,0
R3,20,30/12/2019,0,,1
R4,20,05/12/2019,153,0,0
R4,20,06/12/2019,153,0,0
R4,20,09/12/2019,0,153,0
R4,20,18/12/2019,0,,3
R4,20,19/12/2019,0,,29
R4,20,20/12/2019,0,,22
R4,20,21/12/2019,0,,17
R4,20,22/12/2019,0,,12
R4,20,23/12/2019,0,,2
R4,20,24/12/2019,0,,1
R4,20,25/12/2019,0,,1
R4,20,26/12/2019,0,,0
R4,20,27/12/2019,0,,0
R4,20,28/12/2019,0,,0
R4,20,29/12/2019,0,,0
R4,20,30/12/2019,0,,0
JG1,25,03/11/2019,222,,0
JG1,25,04/11/2019,,,0
JG1,25,05/11/2019,,,0
JG1,25,06/11/2019,,,0
JG1,25,07/11/2019,,,0
JG1,25,08/11/2019,,,0
JG1,25,09/11/2019,,,2
JG1,25,10/11/2019,,,26
JG1,25,11/11/2019,,,29
JG1,25,12/11/2019,,,15
JG1,25,13/11/2019,,,1
JG1,25,14/11/2019,,,0
JG1,25,15/11/2019,,,0
JG1,25,16/11/2019,,,0
JG2,25,03/11/2019,217,,0
JG2,25,04/11/2019,,,0
JG2,25,05/11/2019,,,0
JG2,25,06/11/2019,,,0
JG2,25,07/11/2019,,,0
JG2,25,08/11/2019,,,0
JG2,25,09/11/2019,,,0
JG2,25,10/11/2019,,,9
JG2,25,11/11/2019,,,35
JG2,25,12/11/2019,,,22
JG2,25,13/11/2019,,,2
JG2,25,14/11/2019,,,23
JG2,25,15/11/2019,,,13
JG2,25,16/11/2019,,,3
JG3,25,03/11/2019,211,,0
JG3,25,04/11/2019,,,0
JG3,25,05/11/2019,,,0
JG3,25,06/11/2019,,,0
JG3,25,07/11/2019,,,0
JG3,25,08/11/2019,,,0
JG3,25,09/11/2019,,,0
JG3,25,10/11/2019,,,8
JG3,25,11/11/2019,,,52
JG3,25,12/11/2019,,,27
JG3,25,13/11/2019,,,0
JG3,25,14/11/2019,,,0
JG3,25,15/11/2019,,,0
JG3,25,16/11/2019,,,1